the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000DF812A0381CA52C0AA907E3D57F84340,0101000020110F0000F33EAE0220EB5FC12E0C26A968875241,12648653,2019,2.01903E+11,400,2019-07-20 00:00:00+00,0:32:00,W,M,28,Head,N,N,N,1300 BLOCK Webster St,0,-75.16412429,39.94016236,3,0,1,0,39.94016236,-75.16412429
0101000020E6100000E7234286C2CF52C0CF3826EEA5F44340,0101000020110F0000C5C6857F0DF45FC1C9F6E0BF51835241,12648654,2018,2.01812E+11,100,2018-02-11 00:00:00+00,14:18:00,B,M,23,Multiple,N,N,N,2400 BLOCK S 75th St,0,-75.24624783,39.91131379,12,0,1,1,39.91131379,-75.24624783
0101000020E6100000E7234286C2CF52C0CF3826EEA5F44340,0101000020110F0000C5C6857F0DF45FC1C9F6E0BF51835241,12648655,2018,2.01812E+11,100,2018-02-11 00:00:00+00,14:18:00,B,M,24,Buttocks,N,N,N,2400 BLOCK S 75th St,0,-75.24624783,39.91131379,12,0,1,0,39.91131379,-75.24624783
0101000020E6100000E7234286C2CF52C0CF3826EEA5F44340,0101000020110F0000C5C6857F0DF45FC1C9F6E0BF51835241,12648656,2018,2.01812E+11,100,2018-02-11 00:00:00+00,14:18:00,B,M,21,Back,N,N,N,2400 BLOCK S 75th St,0,-75.24624783,39.91131379,12,0,1,0,39.91131379,-75.24624783
0101000020E6100000B4F3AA8CCECE52C0ECEE6C55B3F64340,0101000020110F0000521B05156FF25FC1DBC6889197855241,12648657,2023,2.02312E+11,400,2023-02-05 00:00:00+00,19:56:00,B,M,23,Multiple,N,N,N,6200 BLOCK WOODLAND AVE,0,-75.23135678,39.92734784,12,1,0,0,39.92734783,-75.23135678
0101000020E61000005E15037FD3CD52C03521105CA3F84340,0101000020110F00004BD58AA4C4F05FC120E408FBBC875241,12648658,2018,2.01812E+11,100,2018-04-02 00:00:00+00,21:38:00,B,M,27,Multiple,N,N,N,1200 BLOCK S SAINT BERNARD ST,0,-75.2160337,39.94248534,12,0,1,1,39.94248534,-75.2160337
0101000020E61000003DB4F23FF7C452C020A41B1FB5024440,0101000020110F00006BDC4ECCB7E15FC1E3610F24E6925241,12648659,2020,2.02015E+11,400,2020-08-03 00:00:00+00,17:21:00,B,M,18,Leg,N,N,N,1600 BLOCK CONKLIN ST,0,-75.07759093,40.02115239,15,0,1,0,40.02115239,-75.07759093
0101000020E6100000266195C1C7CC52C0CCB0172BE6FB4340,0101000020110F0000F55A07DCFDEE5FC1A07796E9598B5241,12648660,2021,2.02116E+11,100,2021-12-16 00:00:00+00,18:50:00,B,M,67,Chest,N,N,N,3800 BLOCK BROWN ST,0,-75.19969215,39.96796168,16,1,0,1,39.96796168,-75.19969215
0101000020E61000001318E3AACFCC52C01846F61897FC4340,0101000020110F000058ED354C0BEF5FC1EDF48FFC1D8C5241,12648661,2022,2.02216E+11,100,2022-01-28 00:00:00+00,16:17:00,B,M,58,Multiple,N,N,N,3800 BLOCK POPLAR ST,0,-75.20017502,39.97336113,16,1,0,1,39.97336113,-75.20017502
0101000020E61000001AE237098ECF52C0A939501258FA4340,0101000020110F0000CB9C5B57B4F35FC1135CA5CBA0895241,12648662,2018,2.01818E+11,400,2018-07-20 00:00:00+00,1:21:00,B,F,18,Leg,N,N,N,6000 BLOCK Pine St,0,-75.24304419,39.95581273,18,1,0,0,39.95581273,-75.24304419
